Gene	adj.P.Val	logFC	Regulation
ILMN_1671092	2.93382226950598e-16	-1.37986529803473	Downregulated
ILMN_1747683	3.04541604195479e-16	-2.66909746172748	Downregulated
ILMN_1678191	3.07264453805693e-16	-1.84460357086653	Downregulated
ILMN_1759023	3.07837447890998e-16	-1.41422503703653	Downregulated
ILMN_2241953	3.18015750109019e-16	-1.25194553287621	Downregulated
ILMN_1711049	3.19466299418899e-16	-2.52397732881943	Downregulated
ILMN_1760347	3.34283610693368e-16	-2.28994042490012	Downregulated
ILMN_1747622	3.38494326381048e-16	-1.49752727527532	Downregulated
ILMN_1707055	3.46955940822443e-16	-1.13977891719187	Downregulated
ILMN_1757129	3.58219328987993e-16	-1.33706428812721	Downregulated
ILMN_1723035	3.966408431542e-16	-2.53009651580272	Downregulated
ILMN_1800225	4.01073782056233e-16	-2.15186892572746	Downregulated
ILMN_1758938	4.05727503483814e-16	-1.99590496728386	Downregulated
ILMN_2349393	4.17085605050365e-16	2.13052669466629	Upregulated
ILMN_1751607	4.22053617056289e-16	-3.36052215537424	Downregulated
ILMN_1703538	4.22482496750551e-16	-2.12262909501586	Downregulated
ILMN_1707612	4.23632335072687e-16	-1.60606237251903	Downregulated
ILMN_1704665	4.30449863433309e-16	-1.88655257460776	Downregulated
ILMN_1701933	4.34831805994404e-16	-1.72887862468659	Downregulated
ILMN_1795930	4.50626732040419e-16	-1.82354241406679	Downregulated
ILMN_1705630	4.56927891234272e-16	-1.46667843756106	Downregulated
ILMN_1736184	4.7057269590956e-16	-1.67731650834094	Downregulated
ILMN_1668092	4.97271982075789e-16	-1.98060447702733	Downregulated
ILMN_1718621	5.28224919689418e-16	-1.4503532084661	Downregulated
ILMN_1789463	5.36755215544505e-16	-1.63710883843286	Downregulated
ILMN_1761946	5.39451296329219e-16	2.11180424242123	Upregulated
ILMN_1748538	5.49375248215114e-16	-1.95777008827836	Downregulated
ILMN_1770084	5.65331644986747e-16	-1.86736592161177	Downregulated
ILMN_1690289	5.67077424429191e-16	-2.24995287694703	Downregulated
ILMN_1662026	6.444077376527e-16	-1.54935023312047	Downregulated
ILMN_2375319	6.57538727573099e-16	-1.09285442032474	Downregulated
ILMN_1703123	6.59041806372831e-16	-1.82193786060926	Downregulated
ILMN_2390310	6.79450033477768e-16	-1.55607118100718	Downregulated
ILMN_1666122	6.79450033477768e-16	-1.92382924809645	Downregulated
ILMN_2086095	6.87784365953494e-16	-2.11166510937537	Downregulated
ILMN_1791447	6.89654887681795e-16	-2.26156894832243	Downregulated
ILMN_1721283	7.33479637129557e-16	-1.67390331961406	Downregulated
ILMN_2344283	7.38647661940669e-16	-1.76733119770784	Downregulated
ILMN_1758281	7.64895216142298e-16	-2.1627035260164	Downregulated
ILMN_1778964	7.67460863736682e-16	-2.58457200831339	Downregulated
ILMN_1656285	7.74301089279203e-16	-1.50655042432548	Downregulated
ILMN_1807529	7.77298796641887e-16	-1.15730977997115	Downregulated
ILMN_1911721	8.09230272529181e-16	-1.30483545258562	Downregulated
ILMN_1651354	8.09230272529181e-16	3.13803072076674	Upregulated
ILMN_1812968	8.82033240606865e-16	-2.37783415479437	Downregulated
ILMN_1690454	8.98712306010919e-16	-1.58152351913992	Downregulated
ILMN_2341254	9.02870683331826e-16	-1.2362570865384	Downregulated
ILMN_1780349	9.02870683331826e-16	-2.59797281727381	Downregulated
ILMN_1754969	9.37032371548282e-16	-1.79039728411197	Downregulated
ILMN_1660808	9.57833136512353e-16	-1.44448333915205	Downregulated
ILMN_1761945	9.68152291484031e-16	-1.53839614388675	Downregulated
ILMN_1694400	9.68152291484031e-16	-1.30547971210618	Downregulated
ILMN_2131861	9.99368488421865e-16	-2.15808767280579	Downregulated
ILMN_1675453	1.00437082006705e-15	-1.34693971476892	Downregulated
ILMN_1664464	1.07337400343109e-15	-2.55168014967524	Downregulated
ILMN_1722329	1.07389370566904e-15	-1.06923931078143	Downregulated
ILMN_1747160	1.1827182838463e-15	-1.53718273655473	Downregulated
ILMN_1666503	1.2214227552255e-15	-1.44395877783818	Downregulated
ILMN_2048659	1.2214227552255e-15	-3.76485820089351	Downregulated
ILMN_1799098	1.24041533571099e-15	-1.50737377498223	Downregulated
