Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Vitamin B6 metabolism	2/6	0.0648510693327196	0.164829801220662	0	0	6.39924085576259	17.5061592638457	PSAT1;AOX1
Galactose metabolism	5/31	0.0702659786933448	0.177116723152646	0	0	2.46342696031493	6.54155033501346	HK3;GALE;AKR1B10;HKDC1;PFKP
Bladder cancer	6/41	0.0735602292304897	0.183900573076224	0	0	2.19642115669797	5.73189214747381	CDKN1A;CXCL8;CDH1;DAPK2;MMP9;HBEGF
p53 signaling pathway	9/73	0.0809234792132068	0.197581713392495	0	0	1.80267207004161	4.53237054490722	CCNB2;CDKN1A;CCND2;CDK6;GADD45B;ZMAT3;SESN1;IGFBP3;SFN
Proximal tubule bicarbonate reclamation	4/23	0.0809761120461045	0.197581713392495	0	0	2.69595897137453	6.77656538428301	CA2;CA4;ATP1B3;AQP1
Renin-angiotensin system	4/23	0.0809761120461045	0.197581713392495	0	0	2.69595897137453	6.77656538428301	CPA3;MME;AGTR1;CTSG
Rap1 signaling pathway	21/210	0.0840355170163055	0.202510973700887	0	0	1.42657342657343	3.53293155641624	PDGFRA;ITGAM;ANGPT1;PRKCB;FPR1;ADCY4;VEGFC;ARAP3;VEGFD;PIK3R1;RASGRP2;ACTG1;RRAS;CDH1;GNAQ;ID1;KIT;RAC2;PRKD1;TEK;FGFR4
Cytosolic DNA-sensing pathway	8/63	0.0843242415082382	0.202510973700887	0	0	1.86419706419706	4.61031946112062	IL33;IL6;AIM2;IL1B;CCL5;CCL4;CASP1;POLR3H
Fructose and mannose metabolism	5/33	0.0872994226804038	0.20801815560565	0	0	2.28722090495949	5.57718559578639	HK3;AKR1B10;HKDC1;FBP1;PFKP
Insulin resistance	12/108	0.0917469160589224	0.216921003085049	0	0	1.602936066713	3.82896769348267	SOCS3;IL6;CREB1;PPP1R3C;PRKCB;PRKCE;GFPT1;SLC2A1;PIK3R1;CD36;ACACB;FOXO1
