Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554	1/27	0.869307381751341	0.999995343838681	0	0	0.49132625994695	0.0688144176665409	XRCC2
Synthesis Of DNA R-HSA-69239	6/119	0.870510605213512	0.999995343838681	0	0	0.67744128364516	0.0939443982727786	GINS2;CDC45;UBB;UBE2C;MCM8;MCM4
Hedgehog On State R-HSA-5632684	4/85	0.873212683231171	0.999995343838681	0	0	0.630269523151348	0.0854495024342578	UBB;HHIP;GAS1;ARRB1
Mitotic Prometaphase R-HSA-68877	10/186	0.874976310414491	0.999995343838681	0	0	0.724441675604063	0.0967553194819006	CDC20;CCNB2;CENPF;TUBA1A;CDCA5;NEK7;BIRC5;NEK2;TUBGCP4;AURKB
Digestion And Absorption R-HSA-8963743	1/28	0.878801823359155	0.999995343838681	0	0	0.473103448275862	0.061123008593656	ALPP
Mitophagy R-HSA-5205647	1/28	0.878801823359155	0.999995343838681	0	0	0.473103448275862	0.061123008593656	UBB
Paracetamol ADME R-HSA-9753281	1/28	0.878801823359155	0.999995343838681	0	0	0.473103448275862	0.061123008593656	ABCC3
Recycling Pathway Of L1 R-HSA-437239	1/28	0.878801823359155	0.999995343838681	0	0	0.473103448275862	0.061123008593656	DPYSL2
Peptide Chain Elongation R-HSA-156902	4/86	0.878898694933769	0.999995343838681	0	0	0.622549597990797	0.0803622122291511	RPL3;RPL21;RPL15;RPS23
HCMV Infection R-HSA-9609646	6/121	0.880287860658861	0.999995343838681	0	0	0.665587483075071	0.0848666043584673	HNRNPK;CREB1;H2BC5;MVB12B;CHMP4B;RNASE1
DNA Replication R-HSA-69306	8/155	0.882171747506215	0.999995343838681	0	0	0.694018979733265	0.0870081301674535	GINS2;CDC45;UBB;H2BC5;UBE2C;MCM8;MCM4;H3-3B
Death Receptor Signaling R-HSA-73887	7/139	0.885148478418461	0.999995343838681	0	0	0.67635671115588	0.0825154347724911	ARHGEF10;APH1B;UBB;TNFAIP3;RNASE1;ARHGEF6;BIRC3
Orc1 Removal From Chromatin R-HSA-68949	3/69	0.885569729531563	0.999995343838681	0	0	0.580204671019588	0.0705088382293651	UBB;MCM8;MCM4
Cristae Formation R-HSA-8949613	1/29	0.887606950572463	0.999995343838681	0	0	0.456182266009852	0.0543889041799933	ATP5PB
Downstream Signaling Of Activated FGFR2 R-HSA-5654696	1/29	0.887606950572463	0.999995343838681	0	0	0.456182266009852	0.0543889041799933	PIK3R1
Negative Regulation Of FGFR3 Signaling R-HSA-5654732	1/29	0.887606950572463	0.999995343838681	0	0	0.456182266009852	0.0543889041799933	UBB
PIWI-interacting RNA (piRNA) Biogenesis R-HSA-5601884	1/29	0.887606950572463	0.999995343838681	0	0	0.456182266009852	0.0543889041799933	TDRD1
Processing Of Capped Intronless Pre-mRNA R-HSA-75067	1/29	0.887606950572463	0.999995343838681	0	0	0.456182266009852	0.0543889041799933	COLEC12
Regulation Of TP53 Activity Thru Acetylation R-HSA-6804758	1/29	0.887606950572463	0.999995343838681	0	0	0.456182266009852	0.0543889041799933	PDZD2
